Employee_ID,Expense_Amount,Currency,Category,Description,Date,Approved/Rejected,Vendor,Department,Location,Exact_Duplicate,Near_Duplicate,Anomaly,Suspicious,Fraud_Score
33,596.13,INR,Travel,Player development local structure whom.,2025-09-23,Approved,Vendor_1,IT,AU,True,True,False,False,2
35,957.62,INR,Accommodation,She discover natural right.,2025-03-17,Approved,Vendor_2,HR,USA,True,True,False,False,2
46,615.08,INR,Accommodation,Clearly young walk road.,2025-08-01,Approved,Vendor_4,IT,EU,True,True,False,False,2
48,37.15,GBP,Accommodation,Available between ahead kid.,2025-07-01,Rejected,Vendor_9,HR,IN,False,False,True,False,1
48,622.2,USD,Meals,Talk chair late name he cup.,2025-04-20,Approved,Vendor_9,HR,EU,False,False,False,False,0
18,588.48,GBP,Meals,Always offer history ground they simply act.,2025-08-08,Approved,Vendor_10,Sales,IN,False,False,False,False,0
22,483.9,AUD,Supplies,Huge show along.,2025-01-07,Approved,Vendor_7,HR,UK,False,False,False,False,0
2,665.0,GBP,Travel,Morning employee economy today hospital wall position.,2025-09-21,Approved,Vendor_7,HR,AU,False,False,False,False,0
47,493.55,EUR,Entertainment,Team success during five drop property nearly wear.,2025-09-03,Approved,Vendor_9,IT,IN,False,False,False,False,0
16,557.62,EUR,Accommodation,Conference this those today morning two recent.,2025-06-17,Rejected,Vendor_5,IT,UK,False,False,False,False,0
11,428.54,AUD,Travel,View week information discover thus.,2025-07-05,Approved,Vendor_3,IT,EU,False,False,False,False,0
45,328.98,INR,Supplies,Church treatment ten system key.,2025-01-15,Approved,Vendor_3,Finance,UK,False,False,False,False,0
36,825.32,EUR,Travel,Mean national general you respond image weight develop.,2025-06-23,Approved,Vendor_2,Sales,UK,False,False,False,False,0
32,895.85,INR,Entertainment,Ok most follow inside return account up.,2025-05-03,Approved,Vendor_7,Finance,EU,False,False,False,False,0
28,293.63,INR,Supplies,Each political run child budget especially truth.,2025-01-31,Rejected,Vendor_7,IT,AU,False,False,False,False,0
1,913.46,INR,Supplies,Which by though employee whether.,2025-07-16,Approved,Vendor_9,HR,UK,False,False,True,False,1
5,687.89,GBP,Accommodation,Rule newspaper force open play sense.,2025-06-11,Approved,Vendor_6,Sales,UK,False,False,False,False,0
33,641.01,EUR,Meals,Ten ball camera late peace news one.,2025-06-20,Approved,Vendor_6,Finance,UK,False,False,False,False,0
8,54.3,EUR,Entertainment,Couple happen raise article.,2025-07-26,Rejected,Vendor_7,HR,UK,False,False,False,False,0
43,80.71,AUD,Meals,Have church type our chair able.,2025-07-27,Approved,Vendor_4,IT,USA,False,False,False,False,0
48,751.78,GBP,Entertainment,Daughter less computer year improve air memory.,2025-07-03,Approved,Vendor_10,Sales,IN,False,False,False,False,0
37,774.97,AUD,Entertainment,Recognize any small.,2025-04-08,Approved,Vendor_8,IT,UK,False,False,False,False,0
23,855.43,AUD,Supplies,Hear edge film why nation different another.,2025-08-10,Approved,Vendor_1,Finance,USA,False,False,False,False,0
9,220.94,INR,Entertainment,Once game kid.,2025-03-07,Approved,Vendor_4,Sales,USA,False,False,False,False,0
